Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Gender,Ingredients
kiehl's,age defender moisturiser 50ml,49.5,4.5/5,https://www.sephora.co.uk/p/Kiehls-Age-Defender-Moisturiser-50ml,//asset.sephora.co.uk/img/products/65037/kiehl_039_s_age_defender_moisturiser_50ml_1602508298_listing.jpg,Moisturizers,No range,Mens,"Polymethyl Methacrylate, Glycine Soja, Citrus Aurantium Dulcis, Tocopherol, Vaccinium Myrtillus Fruit Extract, Fmla 685630 17, Sucrose Stearate, Poly C10-30 Alkyl Acrylate, Chlorphenesin, Synthetic Wax, Acer Saccharinum, Sodium Benzoate, Capryloyl Salicylic Acid, Sodium Polyacrylate, Citral, Caffeine, Saccharum Officinarum, Limonene, Linalool, Hydrolyzed Linseed Extract, Phenoxyethanol, Alcohol Denat, Octyldodecanol, Pentaerythrityl Tetraethylhexanoate, Citrus Limon, Acrylates, Theobroma Cacao, Dimethicone, Hydrogenated Polyisobutene, Adenosine, Orbignya Oleifera Oil, Ascorbyl Glucoside, Aqua, Parfum, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Stearic Acid, Xanthan Gum, F, Palmitic Acid, Polyurethane-2, Dimethiconol, Sodium Hydroxide, Glycerin
            "
clinique,for men moisturizing lotion 100ml,32.0,4.48/5,https://www.sephora.co.uk/p/Clinique-for-Men-Moisturizing-Lotion-100ml,//asset.sephora.co.uk/img/products/52617/Clinique_for_Men_Moisturizing_Lotion_100ml_1410609161_listing.jpg,Moisturizers,No range,Mens,"Water\Aqua\Eau, Mineral Oil\Paraffinum Liquidum\Huile Min?rale, Glycerin, Petrolatum, Stearic Acid, Glyceryl Stearate, Sesamum Indicum (Sesame) Oil, Urea, Lanolin Alcohol, Triethanolamine, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Propylene Glycol Dicaprate, Helianthus Annuus (Sunflower) Seedcake, Butylene Glycol, Sodium Hyaluronate, Pentylene Glycol, Trisodium Edta, Phenoxyethanol, Red 33 (Ci 17200), Yellow 5 (Ci 19140), Yellow 6 (Ci 15985) <ILN40055>.
            "
clinique,for men anti-age moisturizer 100ml,38.0,4.24/5,https://www.sephora.co.uk/p/Clinique-for-Men-Anti-Age-Moisturizer-100ml-,//asset.sephora.co.uk/img/products/130381/clinique_for_men_anti_age_moisturizer_100ml_1606809931_listing.jpg,Moisturizers,No range,Mens,N/A
clinique,for men maximum hydrator activated water-gel concentrate 48ml,42.0,4.67/5,https://www.sephora.co.uk/p/Clinique-For-Men-Maximum-Hydrator-Activated-Water-Gel-Concentrate-48ml,//asset.sephora.co.uk/img/products/76516/Clinique_For_Men_Maximum_Hydrator_Activated_Water_Gel_Concentrate_48ml_1492512162_listing.jpg,Moisturizers,No range,Mens,"Water\Aqua\Eau, Glycerin, Butylene Glycol, Phenyl Trimethicone, Propanediol, Sucrose, Hydroxyethyl Urea, Alteromonas Ferment Extract, Aloe Barbadensis Leaf Water, Algae Extract, Cholesterol, Hydrolyzed Rice Extract, Trehalose, Acetyl Glucosamine, Pentaerythrityl Tetraethylhexanoate, Sorbitol, Sodium Hyaluronate, Sodium Polyaspartate, Caffeine, Tocopheryl Acetate, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Dextrin Palmitate, Dehydroxanthan Gum, Citric Acid, Benzophenone-4, Tetrahexyldecyl Ascorbate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Citrate, Disodium Edta, Bht, Chlorphenesin, Phenoxyethanol, Green 6 (Ci 61565) <ILN43187>.
            "
kiehl's,facial fuel moisturiser 125ml,38.5,4.86/5,https://www.sephora.co.uk/p/Kiehls-Facial-Fuel-125ml,//asset.sephora.co.uk/img/products/60909/Kiehl__039_s_Facial_Fuel_125ml_1513934384_listing.jpg,Moisturizers,No range,Mens,"Aqua / Water, Cyclohexasiloxane, Alcohol Denat., Glycerin, Butylene Glycol, Dimethicone, Zea Mays / Corn Germ Oil, Panthenol, Triethanolamine, Ascorbyl Glucoside, Glyceryl Linoleate, Phenoxyethanol, Polyperfluoromethylisopropyl Ether, Polyacrylamide, Dimethiconol, Glyceryl Oleate, Carbomer, Cetyl Alcohol, C13-14 Isoparaffin, Parfum / Fragrance, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Methylparaben, Glycine Soja Oil / Soybean Oil, Caffeine, Tocopherol, Hydrogenated Lecithin, Castanea Sativa / Chestnut Seed Extract, Benzophenone-4, Menthol, Limonene, Peg-100 Stearate, Glyceryl Stearate, Laureth-7, Hydrolyzed Soy Protein, Potassium Cetyl Phosphate, Butylparaben, Disodium Edta, Ethylparaben, Glyceryl Linolenate, Propylparaben, Citrus Aurantium Dulcis Juice / Orange Juice, Citrus Medica Limonum Juice / Lemon Juice, Linalool, Citral
            "
givenchy,le soin noir protection uv fluid spf50+ day cream 30ml,64.8,,https://www.sephora.co.uk/p/GIVENCHY-Le-Soin-Noir-Protection-UV-Fluid-SPF50-Day-Cream-30ml,//asset.sephora.co.uk/img/products/160057/givenchy_le_soin_noir_protection_uv_fluid_spf50_day_cream_30ml_1642070148_listing.jpg,Moisturizers,No range,Mens,"Ethylhexyl, Triazone, Dimethicone, Bis-ethylhexyloxyphenol Methoxyphenyl Triazine ,
Methylene Bis-benzotriazolyl Tetramethylbutylphenol  Diisopropyl Sebacate, C20-22 Alkyl Phosphate, Calcium Sodium Borosilicate, Glyceryl Stearate, Peg-100 Stearate, Caprylic/Capric Triglyceride, C20-22 Alcohols, Ci 77891 (Titanium Dioxide, Maris Aqua (Sea Water) Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Decyl Glucoside, Parfum (Fragrance) Chlorphenesin, Dimethicone/vinyl Dimethicone Crosspolymer, Hydroxyacetophenone, Propanediol, Xanthan Gum, Silica, Sodium Hydroxide, Citric Acid, Adenosine, Polysorbate 60, Sorbitan Isostearate, Phenoxyethanol, Undaria Pinnatifida Extract, Alumina, Propylene Glycol, Skeletonema Costatum Extract, Tocopherol, Ci 77491 (Iron Oxides) Saccharide Isomerate.
            "
clinique,for men maximum hydrator 72-hour auto-replenishing hydrator 50ml,39.0,3.66/5,https://www.sephora.co.uk/p/Clinique-For-Men-Maximum-Hydrator-72-Hour-Auto-Replenishing-Hydrator-50ml,//asset.sephora.co.uk/img/products/106213/clinique_for_men_maximum_hydrator_72_hour_auto_replenishing_hydrator_50ml_1561383063_listing.jpg,Moisturizers,No range,Mens,"Water\Aqua\Eau, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Trehalose, Sucrose, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydroxyethyl Urea, Camellia Sinensis (Green Tea) Leaf Extract, Saccharomyces Lysate Extract, Aloe Barbadensis Leaf Water, Silybum Marianum (Lady'S Thistle) Extract, Betula Alba (Birch) Bark Extract, Caffeine, Thermus Thermophillus Ferment, Palmitoyl Hexapeptide-12, Magnesium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Caprylyl Glycol, Sorbitol, Oleth-10, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Polyaspartate, Saccharide Isomerate, Hydrogenated Lecithin, Glyceryl Polymethacrylate, Peg-8, Tromethamine, Hexylene Glycol, Citric Acid, Disodium Edta-Copper, Sodium Citrate, Disodium Edta, Bht, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Green 5 (Ci 61570).
            "
clarins,men line-control balm 50ml,42.5,4.76/5,https://www.sephora.co.uk/p/Clarins-Men-Line-Control-Balm-50ml,//asset.sephora.co.uk/img/products/69529/Clarins_Men_Line_Control_Balm_50ml_1473767381_listing.jpg,Moisturizers,No range,Mens,"Aqua/Water/Eau, Glycerin, Hydrogenated Polyisobutene, Butyrospermum Parkii (Shea) Butter, Cetearyl Ethylhexanoate, Caprylic/Capric Triglyceride, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Caffeine, Butylene Glycol, Avena Sativa (Oat) Kernel Extract, Parfum/Fragrance, Ethylhexylglycerin, Polyacrylamide, Tocopheryl Acetate, Hierochloe Odorata Extract, Palmitoyl Proline, C13-14 Isoparaffin, Disodium Edta, Spilanthes Acmella Flower Extract, Magnesium Palmitoyl Glutamate, Sodium Palmitoyl Sarcosinate, Biosaccharide Gum-4, Laureth-7, Palmitic Acid, Pentylene Glycol, Portulaca Oleracea Extract, Thermus Thermophillus Ferment, Lapsana Communis Flower/Leaf/Stem Extract, Alpinia Officinarum Root Extract, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Tocopherol, Phenoxyethanol, Sodium Dehydroacetate, Potassium Sorbate, Sodium Lauryl Sulfate, Limonene, Linalool, Hexyl Cinnamal, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Benzyl Benzoate, Citral, 
"
clinique,for men super energizer™ spf40 anti-fatigue hydrating concentrate 48ml,47.0,3.33/5,https://www.sephora.co.uk/p/Clinique-For-Men-Super-Energizer-SPF-40-Anti-Fatigue-Hydrating-Concentrate-48ml,//asset.sephora.co.uk/img/products/95441/Clinique_For_Men_Super_Energizer_trade__SPF_40_Anti_Fatigue_Hydrating_Concentrate_48ml_1532697980_listing.jpg,Moisturizers,No range,Mens,"Water\Aqua\Eau, Ethylhexyl Salicylate, Glycerin, Neopentyl Glycol Diheptanoate, Polyester-8, Butyl Methoxydibenzoylmethane, Dimethicone, Sorbitan Stearate, Butyloctyl Salicylate, Polysorbate 60, Butylene Glycol, Sodium Acrylates Copolymer, Niacinamide, Sodium Hyaluronate, Acetyl Carnitine Hcl, Creatine, Brassica Oleracea Gemmifera (Brussels Sprouts) Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Brassica Oleracea Italica (Broccoli) Extract, Daucus Carota Sativa (Carrot) Root Extract, Brassica Oleracea Acephala (Kale) Leaf Extract, Spinacia Oleracea (Spinach) Leaf Extract, Albizia Julibrissin Bark Extract, Cucumis Sativus (Cucumber) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Plankton Extract, Laminaria Saccharina Extract, Caffeine, Adenosine Phosphate, Sea Whip Extract, Yeast Extract\Faex\Extrait De Levure, Sodium Rna, Phytic Acid, Lactobacillus Ferment, Algae Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Silica, Resveratrol, Cetyl Alcohol, Tocopheryl Acetate, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Pentylene Glycol, Trehalose, Styrene/Acrylates Copolymer, Lecithin, Helianthus Annuus (Sunflower) Seedcake, Micrococcus Lysate, Arabidopsis Thaliana Extract, Biosaccharide Gum-4, Ergothioneine, Oryza Sativa (Rice) Bran Extract, Capryloyl Glycine, Salicylic Acid, Isohexadecane, Peg-8 Laurate, Polysorbate 80, Ethylhexylglycerin, Propylene Glycol Dicaprate, 7-Dehydrocholesterol, Peg-100 Stearate, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Tetrahexyldecyl Ascorbate, Propylene Glycol Caprylate, Polyethylene, Disodium Edta, Bht, Phenoxyethanol, Chlorphenesin, Mica, Titanium Dioxide (Ci 77891).
            "
clarins,men super moisture gel 50ml,33.0,4.66/5,https://www.sephora.co.uk/p/ClarinsMen-Super-Moisture-Gel-50ml,//asset.sephora.co.uk/img/products/100802/ClarinsMen_Super_Moisture_Gel_50ml_1545296576_listing.jpg,Moisturizers,No range,Mens,"Aqua/Water/Eau, Cyclomethicone, Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Phenyl Trimethicone, Tapioca Starch, Trehalose, Cyclopentasiloxane, Phenoxyethanol, Parfum/Fragrance, Tocopheryl Acetate, Ethylhexylglycerin, Hierochloe Odorata Extract, Hydrolyzed Calcium Hyaluronate, Peg/Ppg-18/18 Dimethicone, Glyceryl Acrylate/Acrylic Acid Copolymer, Tetrasodium Edta, Helianthus Annuus (Sunflower) Extract, Pentylene Glycol, Steareth-20, Thermus Thermophillus Ferment, Portulaca Oleracea Extract, Lapsana Communis Flower/Leaf/Stem Extract, Eryngium Alpinum Flower Extract, Potassium Sorbate, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Sodium Lauryl Sulfate, Alpinia Officinarum Root Extract, Limonene, Linalool, Hexyl Cinnamal, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Benzyl Benzoate, Citral, Ci 42090/Blue 1, Ci 60730/Ext, Violet 2, 
"
